UserID,Group,Age,Gender,Location,Device,PageViews,ClickThroughRate,SessionDuration,FrequencyOfVisits,LastVisitDate,SignUps,Downloads,Purchases,FormSubmissions,NetPromoterScore,MostActiveTimeOfDay,ContentConsumed,UserJourneyPathway,FeatureInteraction,LayoutVariation,ColorScheme,CTAButton
26,Test,31,Other,South America,Mobile,4,0.7428518559317735,4.821590603385291,0,6/17/23 6:44,1,0,1,1,-8,Afternoon,Educational,Direct,Feature A,Layout 1,Scheme 1,Button A
27,Test,26,Female,North America,Mobile,1,0.20686556949191448,5.485791110800493,4,3/9/23 15:39,0,0,0,0,5,Evening,News,Ad Click,Feature A,Layout 1,Scheme 1,Button A
28,Test,27,Female,Asia,Tablet,7,0.6023230195679709,6.257573407667011,3,5/4/23 20:46,1,0,0,1,-8,Afternoon,Educational,Homepage,Feature A,Layout 1,Scheme 1,Button A
29,Test,38,Female,South America,Tablet,5,0.8530402034723686,3.2532086334843235,4,6/6/23 10:36,0,0,0,0,-1,Evening,Lifestyle,Direct,Feature A,Layout 1,Scheme 1,Button A
30,Test,69,Female,Europe,Desktop,7,0.005064989,5.3096336,5,6/28/23 16:22,0,0,0,0,6,Afternoon,Lifestyle,Ad Click,Feature C,Layout 1,Scheme 1,Button A
31,Test,34,Other,Europe,Mobile,5,0.1822116060415312,3.3995819342629723,2,3/3/23 20:32,0,1,0,0,-8,Night,Educational,Ad Click,None,Layout 1,Scheme 1,Button A
32,Test,69,Male,Europe,Tablet,4,0.2426951153026221,2.210792872480411,4,6/8/23 13:15,0,0,0,0,-9,Morning,Lifestyle,Homepage,Feature C,Layout 1,Scheme 1,Button A
33,Test,23,Female,North America,Mobile,2,0.6730562456888743,6.1980857474621995,2,2/6/23 6:48,0,0,0,1,1,Morning,Lifestyle,Homepage,Feature B,Layout 1,Scheme 1,Button A
34,Test,33,Other,Europe,Mobile,5,0.6151197900331703,2.6528066506577592,2,4/22/23 20:45,0,0,0,1,-4,Night,Educational,Homepage,None,Layout 1,Scheme 1,Button A
35,Test,65,Other,Europe,Desktop,8,0.4084871616635859,10.098955977741188,3,2/8/23 16:37,1,0,0,0,3,Evening,News,Homepage,Feature C,Layout 1,Scheme 1,Button A
36,Test,18,Other,Africa,Tablet,9,0.43110827998593226,3.4818529029925926,3,3/12/23 5:19,1,1,0,1,-8,Morning,Entertainment,Ad Click,None,Layout 1,Scheme 1,Button A
37,Test,36,Male,Africa,Desktop,3,0.7232253054552517,5.388134765010181,2,3/18/23 22:56,0,0,0,0,4,Night,News,Search,None,Layout 1,Scheme 1,Button A
38,Test,53,Other,Africa,Mobile,4,0.5707971598484831,4.113642516913905,5,3/14/23 23:26,0,0,0,0,-9,Afternoon,Lifestyle,Search,Feature B,Layout 1,Scheme 1,Button A
39,Test,42,Other,North America,Desktop,6,0.4588812209643153,2.1687058601507228,5,3/21/23 6:13,1,0,0,0,9,Morning,Lifestyle,Search,Feature B,Layout 1,Scheme 1,Button A
40,Test,67,Male,Europe,Desktop,7,0.018141666,1.1062124724089148,4,4/20/23 16:24,0,0,0,0,8,Morning,Lifestyle,Search,Feature C,Layout 1,Scheme 1,Button A
41,Test,69,Other,South America,Mobile,5,0.9217427498743007,5.69021758,4,2/12/23 23:14,1,0,0,0,2,Afternoon,Entertainment,Direct,None,Layout 1,Scheme 1,Button A
42,Test,47,Other,Europe,Tablet,4,0.1585530926952914,6.1917729282880485,6,2/1/23 20:19,0,0,0,1,-9,Morning,News,Search,Feature C,Layout 1,Scheme 1,Button A
43,Test,37,Male,Africa,Mobile,4,0.042624397,7.271496924562941,1,5/4/23 8:26,0,0,0,1,-4,Morning,Lifestyle,Direct,Feature C,Layout 1,Scheme 1,Button A
44,Test,37,Male,Oceania,Desktop,4,0.7304664836161067,6.651755056007626,1,4/21/23 22:39,0,0,0,0,-7,Morning,Educational,Ad Click,Feature A,Layout 1,Scheme 1,Button A
45,Test,32,Male,Europe,Desktop,3,0.8157348740723542,3.8678490196640065,2,5/12/23 8:58,0,0,0,1,-2,Night,News,Homepage,Feature B,Layout 1,Scheme 1,Button A
46,Test,57,Female,Africa,Tablet,6,0.40754700904485963,8.980423808146707,4,5/27/23 1:30,0,0,0,1,-9,Evening,Entertainment,Homepage,Feature A,Layout 1,Scheme 1,Button A
47,Test,50,Male,Europe,Mobile,3,0.5782628572425975,7.760325821400917,4,2/17/23 21:00,0,0,0,0,-6,Afternoon,Lifestyle,Direct,Feature A,Layout 1,Scheme 1,Button A
48,Test,19,Female,Oceania,Desktop,5,0.28703052194840395,1.4331587027991892,3,2/12/23 9:57,0,0,0,1,-7,Night,Entertainment,Direct,Feature A,Layout 1,Scheme 1,Button A
49,Test,27,Female,North America,Mobile,4,0.9666676589751286,6.728264310652844,4,3/21/23 18:15,0,1,0,0,3,Morning,Lifestyle,Direct,Feature B,Layout 1,Scheme 1,Button A
50,Test,50,Male,Asia,Tablet,6,0.674053518,0.2194067439034919,5,5/31/23 6:43,0,1,0,1,7,Morning,Educational,Search,Feature C,Layout 1,Scheme 1,Button A
51,Test,49,Female,Asia,Mobile,2,0.2196520734118408,6.232952463726178,5,2/19/23 1:41,0,0,0,0,-2,Night,Lifestyle,Direct,None,Layout 1,Scheme 1,Button A
52,Test,28,Other,Europe,Mobile,7,0.3717376479102483,2.8909994568303605,2,4/12/23 1:51,0,1,0,1,0,Morning,Entertainment,Homepage,Feature A,Layout 1,Scheme 1,Button A
53,Test,41,Other,South America,Desktop,4,0.043396637,6.2730801849057745,4,1/9/23 22:22,0,0,0,1,10,Evening,Entertainment,Search,Feature A,Layout 1,Scheme 1,Button A
54,Test,53,Male,Europe,Mobile,8,0.389433987,3.643505243437275,3,3/3/23 3:55,0,0,0,1,-10,Afternoon,Lifestyle,Search,None,Layout 1,Scheme 1,Button A
55,Test,29,Female,Oceania,Tablet,7,0.9556692052529732,6.112638285076767,2,1/3/23 5:45,0,0,0,0,-10,Night,Lifestyle,Ad Click,Feature B,Layout 1,Scheme 1,Button A
56,Test,68,Other,Europe,Desktop,4,0.2198476388989279,6.472767578862759,5,5/20/23 13:11,0,0,1,1,-5,Morning,Lifestyle,Direct,Feature C,Layout 1,Scheme 1,Button A
57,Test,46,Female,Asia,Tablet,6,0.554931394,1.2216877943069195,1,3/1/23 14:22,0,0,0,1,-7,Evening,Entertainment,Ad Click,Feature A,Layout 1,Scheme 1,Button A
58,Test,52,Female,Europe,Mobile,7,0.8788097969475697,5.042980079375351,1,3/3/23 18:06,0,0,0,0,8,Afternoon,News,Ad Click,None,Layout 1,Scheme 1,Button A
59,Test,18,Other,Europe,Mobile,6,0.9124261051540442,3.4351401429838617,2,4/22/23 23:59,0,0,1,1,-2,Night,Lifestyle,Search,None,Layout 1,Scheme 1,Button A
60,Test,18,Male,Africa,Desktop,7,0.48614594796879007,4.587804320284594,2,5/18/23 18:18,1,0,0,0,2,Evening,Educational,Homepage,Feature A,Layout 1,Scheme 1,Button A
61,Test,54,Female,Europe,Mobile,2,0.7629041274933649,5.752692612273164,6,2/17/23 20:04,1,0,0,1,-2,Morning,Entertainment,Homepage,Feature C,Layout 1,Scheme 1,Button A
62,Test,23,Other,Africa,Mobile,3,0.9215996302743683,7.941482136667167,3,4/25/23 3:36,0,0,1,0,7,Evening,News,Direct,None,Layout 1,Scheme 1,Button A
63,Test,56,Male,North America,Tablet,3,0.4375587375240547,5.8079909951058415,2,5/21/23 9:40,0,0,0,1,3,Evening,Lifestyle,Ad Click,Feature C,Layout 1,Scheme 1,Button A
64,Test,58,Female,South America,Mobile,8,0.9028369362118623,6.348572391857283,3,5/23/23 7:57,0,0,1,0,-9,Evening,Lifestyle,Direct,None,Layout 1,Scheme 1,Button A
65,Test,35,Female,Europe,Desktop,3,0.8811939396352021,3.7942785303574436,8,4/6/23 3:49,1,0,0,1,-3,Night,Entertainment,Direct,None,Layout 1,Scheme 1,Button A
66,Test,33,Female,Africa,Desktop,4,0.9286273437686131,7.543995099876287,4,3/19/23 11:18,0,0,0,0,9,Night,Educational,Search,Feature B,Layout 1,Scheme 1,Button A
67,Test,22,Female,Oceania,Tablet,7,0.9149546562049572,3.521842791107585,2,1/25/23 15:35,0,0,0,1,7,Night,Entertainment,Search,Feature C,Layout 1,Scheme 1,Button A
68,Test,59,Male,Oceania,Tablet,8,0.3098940752100089,0.15509000343370616,4,4/25/23 20:02,0,1,0,0,6,Night,Entertainment,Search,None,Layout 1,Scheme 1,Button A
69,Test,60,Female,Africa,Mobile,2,0.047917572,2.5753143482630985,7,6/25/23 13:11,0,1,0,0,3,Night,News,Search,Feature C,Layout 1,Scheme 1,Button A
70,Test,49,Other,Oceania,Mobile,5,0.8991589712066543,9.644434823,1,2/24/23 12:19,0,0,1,1,-3,Afternoon,Entertainment,Direct,Feature C,Layout 1,Scheme 1,Button A
71,Test,19,Other,Oceania,Tablet,4,0.39852932648156625,4.078997800148682,2,6/13/23 1:50,1,0,0,1,-7,Morning,Lifestyle,Ad Click,Feature B,Layout 1,Scheme 1,Button A
72,Test,19,Other,Europe,Desktop,2,0.626569055,11.270522775950957,3,3/27/23 1:55,0,0,1,0,-2,Night,Entertainment,Ad Click,Feature B,Layout 1,Scheme 1,Button A
73,Test,57,Male,Asia,Tablet,6,0.33076754954750265,5.558861207033723,3,3/10/23 7:17,0,1,0,1,-4,Evening,News,Homepage,Feature C,Layout 1,Scheme 1,Button A
74,Test,59,Other,Asia,Desktop,9,0.48919391,3.901343347310769,2,2/20/23 12:54,0,0,0,0,-8,Morning,Educational,Ad Click,Feature A,Layout 1,Scheme 1,Button A
75,Test,53,Female,Europe,Desktop,2,0.7701805323893903,7.102562238903219,3,3/17/23 2:13,0,1,0,0,-6,Afternoon,Entertainment,Search,None,Layout 1,Scheme 1,Button A
76,Test,56,Female,Europe,Tablet,7,0.8350184377309979,5.202660917718408,2,2/21/23 7:10,0,0,0,0,-10,Night,Entertainment,Homepage,Feature C,Layout 1,Scheme 1,Button A
77,Test,29,Other,Asia,Desktop,8,0.45013852326993686,5.605568696657776,3,3/28/23 16:54,0,0,0,0,0,Afternoon,Entertainment,Ad Click,None,Layout 1,Scheme 1,Button A
78,Test,64,Male,Europe,Desktop,6,0.6478880968214643,6.4436170081698405,3,2/7/23 3:49,0,0,0,0,-1,Evening,News,Direct,Feature C,Layout 1,Scheme 1,Button A
79,Test,36,Male,Europe,Mobile,4,0.8328424457392462,5.591843140805095,5,2/13/23 1:51,0,1,0,0,3,Afternoon,Educational,Ad Click,None,Layout 1,Scheme 1,Button A
80,Test,45,Female,Asia,Mobile,3,0.8238761880495536,6.2240357055813575,5,1/26/23 7:05,0,0,0,0,6,Night,Entertainment,Direct,Feature A,Layout 1,Scheme 1,Button A
81,Test,18,Female,Africa,Desktop,7,0.5322222697953986,0.30638306315883934,1,5/9/23 20:15,1,1,0,1,-7,Morning,News,Search,Feature B,Layout 1,Scheme 1,Button A
82,Test,32,Other,North America,Mobile,2,0.8436612347579705,2.667332533986108,3,1/2/23 19:22,0,1,0,0,1,Night,News,Search,Feature C,Layout 1,Scheme 1,Button A
83,Test,53,Male,Europe,Tablet,5,0.6783191695723112,3.370490259459177,2,4/4/23 8:45,0,0,0,0,-9,Morning,News,Homepage,Feature A,Layout 1,Scheme 1,Button A
84,Test,30,Other,Asia,Mobile,1,0.37717167093222326,4.081602926365157,0,6/20/23 20:16,1,0,0,0,-5,Evening,Lifestyle,Ad Click,Feature C,Layout 1,Scheme 1,Button A
85,Test,60,Female,Oceania,Desktop,6,0.7920225603039918,7.677906096483724,4,1/6/23 20:42,0,0,0,0,0,Morning,Entertainment,Direct,Feature A,Layout 1,Scheme 1,Button A
86,Test,38,Female,Europe,Mobile,4,0.39220716370787667,4.983373194429341,4,1/2/23 22:48,0,0,0,1,9,Afternoon,Lifestyle,Ad Click,Feature A,Layout 1,Scheme 1,Button A
87,Test,29,Other,Europe,Tablet,4,0.067225355,5.124236527287009,2,2/2/23 6:40,0,1,0,1,4,Evening,News,Homepage,None,Layout 1,Scheme 1,Button A
88,Test,22,Male,Africa,Desktop,6,0.9172720889531232,7.479785235889283,4,4/27/23 2:58,0,0,0,1,0,Morning,Entertainment,Ad Click,Feature C,Layout 1,Scheme 1,Button A
89,Test,24,Female,North America,Mobile,3,0.9385443844336123,2.6801044785658372,3,2/26/23 2:53,0,0,0,0,-9,Afternoon,Entertainment,Direct,None,Layout 1,Scheme 1,Button A
90,Test,22,Female,Europe,Desktop,4,0.977649391,5.040212306110189,4,6/13/23 15:46,0,0,0,1,-8,Evening,Lifestyle,Homepage,None,Layout 1,Scheme 1,Button A
91,Test,65,Male,North America,Mobile,6,0.6570098472786675,8.188635438306026,2,1/7/23 5:28,0,0,0,0,8,Night,News,Homepage,Feature C,Layout 1,Scheme 1,Button A
92,Test,21,Female,Asia,Desktop,9,0.6826149205715927,2.0092867198589768,0,5/29/23 14:38,0,0,0,0,-5,Evening,News,Direct,None,Layout 1,Scheme 1,Button A
93,Test,30,Male,Asia,Mobile,1,0.086415264,5.1660980594425405,5,3/2/23 16:20,0,0,0,1,-2,Morning,Lifestyle,Direct,None,Layout 1,Scheme 1,Button A
94,Test,54,Male,Oceania,Tablet,0,0.7551076683675894,5.4940143963357455,4,3/22/23 12:17,0,0,0,0,1,Afternoon,Lifestyle,Direct,Feature A,Layout 1,Scheme 1,Button A
95,Test,58,Female,South America,Tablet,7,0.623739556,1.1758850308249431,3,4/8/23 7:32,0,0,0,0,6,Morning,Lifestyle,Ad Click,Feature C,Layout 1,Scheme 1,Button A
96,Test,32,Other,Africa,Tablet,5,0.7120349514184937,4.769284462,3,4/21/23 9:51,0,0,0,1,10,Morning,Entertainment,Search,Feature A,Layout 1,Scheme 1,Button A
97,Test,33,Female,Asia,Tablet,3,0.12747203112910654,4.154597924546659,0,5/20/23 11:12,0,0,0,0,7,Afternoon,Lifestyle,Homepage,Feature A,Layout 1,Scheme 1,Button A
98,Test,38,Female,Oceania,Tablet,4,0.27030710415625503,6.619870008880767,3,2/1/23 9:35,0,0,0,1,9,Morning,Lifestyle,Direct,Feature B,Layout 1,Scheme 1,Button A
99,Test,53,Female,Europe,Mobile,6,0.8987314148361819,5.145305331062385,3,3/19/23 0:35,0,0,0,1,10,Afternoon,Educational,Homepage,Feature B,Layout 1,Scheme 1,Button A
100,Test,41,Female,Europe,Mobile,3,0.8429797199023248,6.757939698245569,3,1/7/23 23:25,0,0,0,1,-6,Afternoon,Educational,Direct,None,Layout 1,Scheme 1,Button A
101,Test,33,Other,Asia,Mobile,4,0.5484307562078579,6.3081071842174214,2,2/8/23 19:19,1,1,0,0,7,Night,Lifestyle,Ad Click,None,Layout 1,Scheme 1,Button A
102,Test,31,Other,South America,Mobile,2,0.5991332737810511,3.634334743713917,1,4/24/23 5:05,0,1,0,1,-3,Night,Educational,Search,None,Layout 1,Scheme 1,Button A
103,Test,39,Other,Oceania,Tablet,3,0.5466622154564506,4.150366051142257,4,6/13/23 15:55,0,1,0,0,7,Morning,Entertainment,Direct,Feature A,Layout 1,Scheme 1,Button A
104,Test,66,Male,Africa,Tablet,7,0.8590409730512955,5.788310893304604,1,4/17/23 15:06,0,1,0,0,-8,Evening,News,Homepage,Feature C,Layout 1,Scheme 1,Button A
105,Test,67,Other,Oceania,Desktop,8,0.6061529585170887,3.669446660691568,2,1/6/23 19:51,1,0,1,1,-1,Night,Educational,Homepage,Feature C,Layout 1,Scheme 1,Button A
106,Test,23,Male,South America,Desktop,9,0.14390153682773998,5.147334571520131,0,4/9/23 20:15,0,0,0,1,5,Morning,Lifestyle,Ad Click,None,Layout 1,Scheme 1,Button A
107,Test,59,Female,North America,Desktop,4,0.049734865405119955,5.9972605779757995,5,4/8/23 12:59,0,0,0,1,-6,Evening,Lifestyle,Direct,None,Layout 1,Scheme 1,Button A
108,Test,53,Other,Africa,Tablet,5,0.2051109678366816,7.554660783753725,2,2/16/23 9:34,0,1,0,1,-7,Night,Lifestyle,Direct,Feature B,Layout 1,Scheme 1,Button A
109,Test,18,Other,Africa,Mobile,3,0.4435866555949983,4.544635880806355,4,6/17/23 2:15,0,0,0,1,10,Afternoon,News,Search,None,Layout 1,Scheme 1,Button A
110,Test,49,Other,Europe,Mobile,7,0.8925958799908865,1.5911769750118574,6,4/21/23 14:06,0,0,0,0,-2,Evening,News,Ad Click,Feature C,Layout 1,Scheme 1,Button A
111,Test,23,Other,Africa,Desktop,7,0.8917053452435567,3.0743698605799246,4,3/15/23 9:52,0,0,0,0,-5,Evening,Entertainment,Search,None,Layout 1,Scheme 1,Button A
112,Test,48,Other,Africa,Tablet,6,0.5653553814764715,9.700775780750678,5,5/29/23 5:30,0,0,0,0,-3,Afternoon,Lifestyle,Search,Feature C,Layout 1,Scheme 1,Button A
113,Test,18,Female,Europe,Tablet,7,0.5340386583970458,3.1829188950355576,2,2/16/23 3:47,0,1,0,0,1,Night,Educational,Ad Click,Feature A,Layout 1,Scheme 1,Button A
114,Test,67,Other,Africa,Desktop,8,0.8540300816515106,4.7260528755863325,0,5/8/23 9:49,1,1,0,1,-6,Afternoon,Entertainment,Search,Feature B,Layout 1,Scheme 1,Button A
115,Test,68,Male,South America,Desktop,5,0.501127258,5.999971621130313,5,4/28/23 16:11,1,1,0,0,-2,Afternoon,Educational,Direct,None,Layout 1,Scheme 1,Button A
116,Test,54,Male,Africa,Desktop,8,0.16270144094693395,0.097706306,2,3/20/23 0:45,1,0,0,0,-6,Night,News,Direct,Feature C,Layout 1,Scheme 1,Button A
117,Test,52,Other,Asia,Mobile,5,0.5626073365878282,4.685074577834428,3,3/30/23 22:44,0,0,0,0,5,Morning,Entertainment,Search,Feature A,Layout 1,Scheme 1,Button A
118,Test,66,Male,Africa,Desktop,6,0.43475977768073004,2.573404888083797,1,5/26/23 17:52,1,1,0,1,0,Evening,Entertainment,Homepage,Feature A,Layout 1,Scheme 1,Button A
119,Test,47,Other,Africa,Mobile,6,0.33526423296335306,6.410920709517839,1,5/31/23 15:29,1,1,0,0,1,Afternoon,Educational,Direct,Feature C,Layout 1,Scheme 1,Button A
120,Test,21,Female,North America,Tablet,6,0.6754510583550474,3.351559805,1,4/17/23 13:15,0,1,0,1,3,Afternoon,Entertainment,Ad Click,None,Layout 1,Scheme 1,Button A
121,Test,52,Male,North America,Mobile,5,0.005449241,6.876872490205114,4,1/2/23 14:22,0,1,1,0,5,Morning,Entertainment,Ad Click,Feature C,Layout 1,Scheme 1,Button A
122,Test,60,Other,Oceania,Desktop,6,0.38199972661004333,5.044400149,5,3/16/23 0:22,0,0,0,1,-4,Evening,News,Search,Feature B,Layout 1,Scheme 1,Button A
123,Test,31,Male,South America,Mobile,5,0.24667338470164135,6.169436459191248,2,1/6/23 23:04,1,1,0,0,0,Evening,Entertainment,Direct,Feature C,Layout 1,Scheme 1,Button A
124,Test,66,Other,North America,Tablet,4,0.30007609173747085,8.523406387,4,3/4/23 16:45,1,0,0,0,9,Morning,Lifestyle,Direct,None,Layout 1,Scheme 1,Button A
125,Test,57,Male,Oceania,Desktop,2,0.7592407158426007,3.487726914082833,4,1/27/23 2:18,1,0,0,1,1,Afternoon,News,Homepage,Feature C,Layout 1,Scheme 1,Button A
126,Test,39,Female,South America,Desktop,7,0.10197518256159577,4.806132331,2,3/5/23 13:06,1,0,0,0,-6,Morning,Entertainment,Search,None,Layout 1,Scheme 1,Button A
127,Test,27,Male,Oceania,Tablet,6,0.033990255032630645,9.101209823005554,2,5/19/23 20:48,0,0,0,1,1,Night,Lifestyle,Search,None,Layout 1,Scheme 1,Button A
128,Test,18,Male,North America,Desktop,4,0.6236370299125114,3.695619264691453,3,4/17/23 11:34,0,0,0,0,-10,Night,Entertainment,Direct,None,Layout 1,Scheme 1,Button A
129,Test,28,Male,North America,Mobile,8,0.3665863867541026,3.950403783204363,6,1/12/23 4:58,0,1,1,0,-9,Morning,Entertainment,Homepage,Feature A,Layout 1,Scheme 1,Button A
130,Test,68,Male,Europe,Mobile,6,0.6503982917298611,3.236899650558639,1,4/24/23 9:08,0,1,0,1,-1,Afternoon,News,Ad Click,Feature B,Layout 1,Scheme 1,Button A
131,Test,61,Other,South America,Tablet,2,0.36745750110835973,4.569081331975782,2,5/6/23 23:57,0,0,1,1,-2,Morning,Educational,Homepage,Feature B,Layout 1,Scheme 1,Button A
132,Test,41,Female,Oceania,Desktop,9,0.089528463,1.9536085998288248,4,4/18/23 11:15,0,0,1,1,6,Morning,Educational,Ad Click,Feature A,Layout 1,Scheme 1,Button A
133,Test,20,Female,Africa,Mobile,9,0.7663218996733869,5.2346231351665375,1,2/20/23 4:28,0,0,0,0,-4,Afternoon,Entertainment,Search,Feature A,Layout 1,Scheme 1,Button A
134,Test,52,Male,North America,Desktop,2,0.48923869744064163,6.796782243,3,5/10/23 0:13,0,0,0,0,9,Morning,Entertainment,Direct,Feature B,Layout 1,Scheme 1,Button A
135,Test,53,Male,South America,Tablet,5,0.18865750494608957,1.809632116781371,3,4/9/23 13:53,0,0,0,1,4,Evening,Lifestyle,Search,Feature A,Layout 1,Scheme 1,Button A
136,Test,48,Female,Africa,Desktop,6,0.674995294,1.5212781434345488,2,5/24/23 4:16,0,1,0,1,0,Evening,Educational,Homepage,Feature B,Layout 1,Scheme 1,Button A
137,Test,21,Female,North America,Desktop,9,0.6488794696103897,4.145724309,1,4/18/23 11:30,0,0,0,0,-4,Morning,News,Direct,None,Layout 1,Scheme 1,Button A
138,Test,36,Female,Asia,Tablet,5,0.394540403,5.493752674082993,3,3/17/23 11:54,1,0,0,0,-5,Afternoon,Educational,Homepage,None,Layout 1,Scheme 1,Button A
139,Test,64,Female,Africa,Mobile,2,0.9484152023458697,3.6246062583709677,4,6/11/23 9:45,1,0,0,1,-10,Night,Educational,Ad Click,Feature A,Layout 1,Scheme 1,Button A
140,Test,53,Male,North America,Mobile,8,0.5006905889948137,3.259963399673402,6,6/29/23 2:41,1,0,0,0,8,Evening,Entertainment,Search,Feature B,Layout 1,Scheme 1,Button A
141,Test,38,Female,North America,Desktop,1,0.7078046467605222,4.261249076781099,6,2/25/23 20:23,0,1,0,0,0,Evening,Lifestyle,Homepage,Feature B,Layout 1,Scheme 1,Button A
142,Test,35,Male,Oceania,Mobile,6,0.44050867461692556,2.940214134248338,2,4/9/23 19:06,0,1,0,0,-6,Evening,Educational,Ad Click,Feature A,Layout 1,Scheme 1,Button A
143,Test,68,Male,Africa,Mobile,4,0.9879402248409279,5.804983487540127,2,4/9/23 9:43,0,0,0,0,-3,Night,Educational,Direct,Feature C,Layout 1,Scheme 1,Button A
144,Test,45,Female,South America,Tablet,3,0.6677434108815405,4.045000025490539,3,2/23/23 6:40,0,0,0,0,-8,Night,Entertainment,Direct,Feature B,Layout 1,Scheme 1,Button A
